Россия;1место;3место;7место;США;1место;3место;7место;Китай;1место;3место;7место;Япония;1место;3место;7место;Великобритания;1место;3место;7место;Австралия;1место;3место;7место;Нидерланды;1место;3место;7место
2000;32;29;21;;37;32;28;;28;14;10;;5;5;9;;11;7;7;;16;17;16;;12;4;5
2004;28;36;12;;36;26;15;;32;14;17;;16;9;12;;9;12;16;;17;17;9;;4;9;1
2008;23;29;16;;36;36;36;;51;28;9;;9;10;9;;19;15;13;;14;17;11;;7;4;8
2014;22;33;12;;46;29;21;;38;21;7;;7;17;7;;29;19;12;;6;12;13;;8;9;0
2016;19;19;12;;46;38;19;;26;17;11;;12;20;7;;27;17;13;;8;10;19;;8;4;11
2020;20;23;15;;39;33;10;;38;18;17;;27;17;16;;22;22;19;;17;22;13;;10;14;9
